iter	Passed	Remaining
0	170	170795
1	177	88495
2	181	60226
3	184	45969
4	188	37467
5	191	31688
6	193	27481
7	196	24327
8	198	21861
9	201	19913
10	202	18229
11	204	16839
12	206	15668
13	209	14729
14	211	13855
15	212	13089
16	214	12407
17	216	11802
18	218	11292
19	221	10847
20	224	10450
21	227	10110
22	230	9781
23	232	9448
24	234	9133
25	235	8838
26	237	8564
27	240	8338
28	243	8147
29	245	7931
30	247	7743
31	249	7557
32	251	7376
33	255	7250
34	257	7097
35	259	6945
36	261	6799
37	263	6678
38	266	6575
39	269	6457
40	271	6347
41	273	6241
42	275	6130
43	277	6021
44	279	5932
45	282	5851
46	284	5758
47	285	5664
48	287	5575
49	289	5503
50	291	5433
51	294	5372
52	296	5300
53	298	5224
54	299	5149
55	301	5078
56	302	5010
57	304	4943
58	306	4895
59	309	4847
60	310	4784
61	312	4723
62	313	4664
63	315	4614
64	317	4564
65	320	4539
66	323	4507
67	325	4458
68	327	4414
69	328	4368
70	330	4322
71	333	4294
72	335	4260
73	338	4230
74	339	4191
75	341	4153
76	344	4124
77	345	4088
78	348	4061
79	351	4037
80	353	4005
81	354	3973
82	355	3931
83	357	3900
84	361	3889
85	363	3866
86	365	3839
87	367	3809
88	369	3780
89	371	3753
90	374	3742
91	378	3734
92	380	3710
93	382	3688
94	384	3662
95	387	3647
96	393	3660
97	394	3634
98	396	3610
99	398	3585
100	399	3559
101	406	3576
102	408	3557
103	410	3532
104	411	3510
105	414	3492
106	416	3480
107	419	3465
108	421	3445
109	423	3423
110	424	3402
111	426	3381
112	429	3370
113	432	3361
114	434	3344
115	436	3325
116	437	3304
117	439	3284
118	443	3280
119	445	3269
120	447	3251
121	449	3231
122	450	3215
123	452	3198
124	456	3194
125	459	3185
126	460	3168
127	462	3151
128	464	3134
129	465	3117
130	467	3103
131	470	3096
132	473	3083
133	474	3067
134	476	3050
135	478	3036
136	479	3020
137	481	3007
138	484	2998
139	486	2987
140	488	2977
141	490	2963
142	492	2949
143	493	2935
144	497	2931
145	499	2921
146	501	2908
147	503	2896
148	505	2888
149	507	2876
150	510	2868
151	512	2858
152	514	2847
153	516	2835
154	517	2822
155	519	2810
156	522	2804
157	525	2798
158	527	2792
159	529	2780
160	530	2765
161	532	2754
162	534	2743
163	537	2738
164	539	2729
165	541	2719
166	542	2707
167	544	2697
168	546	2689
169	549	2680
170	551	2673
171	553	2666
172	555	2654
173	557	2644
174	559	2635
175	560	2624
176	563	2620
177	566	2616
178	568	2607
179	570	2598
180	571	2587
181	573	2577
182	575	2568
183	578	2565
184	581	2560
185	582	2551
186	584	2541
187	586	2531
188	587	2521
189	590	2516
190	592	2511
191	594	2502
192	596	2494
193	598	2486
194	599	2475
195	601	2466
196	604	2462
197	606	2457
198	608	2447
199	609	2438
200	610	2428
201	612	2418
202	613	2409
203	615	2400
204	618	2399
205	621	2394
